iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	A 	B 	C 	D 	
97 	 4.1096578053e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-6.1154345604e-19 	2.9877241943e+00 	1.2275805669e-02 	5.9868980800e-13 	
97 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
97 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
98 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
98 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
98 	 4.1591974012e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-8.8983200559e-19 	2.9875765021e+00 	1.2423497870e-02 	5.9868980800e-13 	
98 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
98 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
99 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
99 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
99 	 4.2087369971e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.2947583534e-18 	2.9874288172e+00 	1.2571182771e-02 	5.9868980800e-13 	
99 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
99 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
100 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
100 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
100 	 4.2571506931e-02 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-4.4241667404e-19 	2.9872844959e+00 	1.2715504143e-02 	5.9868980800e-13 	
100 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
100 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
101 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
101 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
101 	 4.3066902890e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-6.4374250510e-19 	2.9871368254e+00 	1.2863174609e-02 	5.9868980800e-13 	
101 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
101 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
102 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
102 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
102 	 4.3562298849e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-9.3668353204e-19 	2.9869891622e+00 	1.3010837774e-02 	5.9868980800e-13 	
102 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
102 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
103 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
103 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
103 	 4.4057694808e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.3629301036e-18 	2.9868415064e+00 	1.3158493641e-02 	5.9868980800e-13 	
103 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
103 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
104 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
104 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
104 	 4.4541831768e-02 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-4.6571084235e-19 	2.9866972134e+00 	1.3302786640e-02 	5.9868980800e-13 	
104 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
104 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
105 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
105 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
105 	 4.5037227727e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-6.7763690181e-19 	2.9865495719e+00 	1.3450428075e-02 	5.9868980800e-13 	
105 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
105 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
106 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
106 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
106 	 4.5532623686e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-9.8600188988e-19 	2.9864019378e+00 	1.3598062211e-02 	5.9868980800e-13 	
106 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
106 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
107 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
107 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
107 	 4.6028019645e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.4346912399e-18 	2.9862543110e+00 	1.3745689049e-02 	5.9868980800e-13 	
107 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
107 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
108 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
108 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
108 	 4.6512156605e-02 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-4.9023149761e-19 	2.9861100463e+00 	1.3889953681e-02 	5.9868980800e-13 	
108 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
108 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
109 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
109 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
109 	 4.7007552564e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-7.1331590979e-19 	2.9859624339e+00 	1.4037566090e-02 	5.9868980800e-13 	
109 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
109 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
110 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
110 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
110 	 4.7502948523e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.0379169630e-18 	2.9858148288e+00 	1.4185171203e-02 	5.9868980800e-13 	
110 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
110 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
111 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
111 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
111 	 4.7998344482e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.5102307509e-18 	2.9856672310e+00 	1.4332769018e-02 	5.9868980800e-13 	
111 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
111 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
112 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
112 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
112 	 4.8482481442e-02 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-5.1604321693e-19 	2.9855229947e+00 	1.4477005289e-02 	5.9868980800e-13 	
112 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
112 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
113 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
113 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
113 	 4.8977877401e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-7.5087349257e-19 	2.9853754113e+00 	1.4624588678e-02 	5.9868980800e-13 	
113 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
113 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
114 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
114 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
114 	 4.9473273360e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.0925654739e-18 	2.9852278352e+00 	1.4772164772e-02 	5.9868980800e-13 	
114 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
114 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
115 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
115 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
115 	 4.9968669319e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.5897475760e-18 	2.9850802664e+00 	1.4919733571e-02 	5.9868980800e-13 	
115 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
115 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
116 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
116 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
116 	 5.0452806279e-02 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-5.4321397756e-19 	2.9849360585e+00 	1.5063941485e-02 	5.9868980800e-13 	
116 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
116 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
117 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
117 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
117 	 5.0948202238e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-7.9040856107e-19 	2.9847885041e+00 	1.5211495861e-02 	5.9868980800e-13 	
117 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
117 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
118 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
118 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
118 	 5.1443598197e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.1500913438e-18 	2.9846409571e+00 	1.5359042942e-02 	5.9868980800e-13 	
118 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
118 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
119 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
119 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
119 	 5.1938994156e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.6734511292e-18 	2.9844934173e+00 	1.5506582730e-02 	5.9868980800e-13 	
119 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
119 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
120 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
120 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
120 	 5.2423131116e-02 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-5.7181533588e-19 	2.9843492377e+00 	1.5650762294e-02 	5.9868980800e-13 	
120 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
120 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
121 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
121 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
121 	 5.2918527075e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-8.3202523407e-19 	2.9842017123e+00 	1.5798287661e-02 	5.9868980800e-13 	
121 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
121 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
122 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
122 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
122 	 5.3413923034e-02 	  4.5035996274e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-1.2106460717e-18 	2.9840541943e+00 	1.5945805735e-02 	5.9868980800e-13 	
122 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0049540000e+05 	2.7600000000e+02 	0.0000000000e+00 	1.1443488749e+00 	2.8556511251e+00 	3.4126292340e-13 	
122 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.6943400000e+04 	2.4510000000e+02 	1.1248015480e-172 	4.7441099665e+00 	2.5589003348e-01 	1.3962679001e-13 	
123 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3011757778e-55 	4.0523530349e-01 	5.9476469651e-01 	4.4588438620e-14 	
123 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	9.2834400000e+04 	2.4830000000e+02 	0.0000000000e+00 	1.8615407391e+00 	1.3845926085e-01 	6.2776977857e-13 	
123 	 5.3898059994e-02 	  2.2517998137e-05 	 0.0000000000e+00 	9.0328400000e+04 	3.0130000000e+02 	-4.1367565390e-19 	2.9839100359e+00 	1.6089964081e-02 	5.9868980800e-13 	
