iter 	 t 	 dt 	 Density[kg/m3] 	 Pressure[Pascal] 	 Temperature[K] 	A 	B 	
61 	 5.5784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.4218381938e+01 	7.8614894952e+00 	
62 	 5.6784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.5172381938e+01 	7.9844894952e+00 	
63 	 5.7784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.6126381938e+01 	8.1074894952e+00 	
64 	 5.8784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.7080381938e+01 	8.2304894952e+00 	
65 	 5.9784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.8034381938e+01 	8.3534894952e+00 	
66 	 6.0784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.8988381938e+01 	8.4764894952e+00 	
67 	 6.1784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	5.9942381938e+01 	8.5994894952e+00 	
68 	 6.2784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.0896381938e+01 	8.7224894952e+00 	
69 	 6.3784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.1850381938e+01 	8.8454894952e+00 	
70 	 6.4784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.2804381938e+01 	8.9684894952e+00 	
71 	 6.5784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.3758381938e+01 	9.0914894952e+00 	
72 	 6.6784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.4712381938e+01 	9.2144894952e+00 	
73 	 6.7784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.5666381938e+01 	9.3374894952e+00 	
74 	 6.8784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.6620381938e+01 	9.4604894952e+00 	
75 	 6.9784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.7574381938e+01 	9.5834894952e+00 	
76 	 7.0784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.8528381938e+01 	9.7064894952e+00 	
77 	 7.1784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	6.9482381938e+01 	9.8294894952e+00 	
78 	 7.2784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.0436381938e+01 	9.9524894952e+00 	
79 	 7.3784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.1390381938e+01 	1.0075489495e+01 	
80 	 7.4784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.2344381938e+01 	1.0198489495e+01 	
81 	 7.5784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.3298381938e+01 	1.0321489495e+01 	
82 	 7.6784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.4252381938e+01 	1.0444489495e+01 	
83 	 7.7784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.5206381938e+01 	1.0567489495e+01 	
84 	 7.8784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.6160381938e+01 	1.0690489495e+01 	
85 	 7.9784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.7114381938e+01 	1.0813489495e+01 	
86 	 8.0784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.8068381938e+01 	1.0936489495e+01 	
87 	 8.1784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.9022381938e+01 	1.1059489495e+01 	
88 	 8.2784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	7.9976381938e+01 	1.1182489495e+01 	
89 	 8.3784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.0930381938e+01 	1.1305489495e+01 	
90 	 8.4784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.1884381938e+01 	1.1428489495e+01 	
91 	 8.5784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.2838381938e+01 	1.1551489495e+01 	
92 	 8.6784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.3792381938e+01 	1.1674489495e+01 	
93 	 8.7784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.4746381938e+01 	1.1797489495e+01 	
94 	 8.8784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.5700381938e+01 	1.1920489495e+01 	
95 	 8.9784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.6654381938e+01 	1.2043489495e+01 	
96 	 9.0784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.7608381938e+01 	1.2166489495e+01 	
97 	 9.1784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.8562381938e+01 	1.2289489495e+01 	
98 	 9.2784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	8.9516381938e+01 	1.2412489495e+01 	
99 	 9.3784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.0470381938e+01 	1.2535489495e+01 	
100 	 9.4784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.1424381938e+01 	1.2658489495e+01 	
101 	 9.5784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.2378381938e+01 	1.2781489495e+01 	
102 	 9.6784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.3332381938e+01 	1.2904489495e+01 	
103 	 9.7784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.4286381938e+01 	1.3027489495e+01 	
104 	 9.8784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.5240381938e+01 	1.3150489495e+01 	
105 	 9.9784467441e+01 	  1.0000000000e-01 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.6194381938e+01 	1.3273489495e+01 	
106 	 1.0000000000e+02 	  0.0000000000e+00 	 0.0000000000e+00 	1.0125330000e+05 	2.7250000000e+02 	9.6400000000e+01 	1.3300000000e+01 	
